id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label,target
132932,9e-06,unas,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,6,2,3,3,3,6,0,0,0,5,6,0,DoS,1,1
74699,1.15951,tcp,http,FIN,10,10,816,1380,16.386232,62,252,5071.107422,8569.136719,2,2,128.834444,110.103445,8229.999317,168.774219,255,82986412,2417929260,255,0.208447,0.148748,0.059699,82,138,1,245,1,1,1,1,1,1,0,0,1,3,1,0,Normal,0,0
41650,0.978448,tcp,-,FIN,10,6,534,268,15.330401,254,252,3932.759033,1831.471924,2,1,104.923778,179.886406,5958.71385,288.248875,255,3108240979,2281541630,255,0.133491,0.079007,0.054484,53,45,0,0,3,1,1,1,1,3,0,0,0,2,3,0,Normal,0,0
106856,1.404612,tcp,ftp,FIN,12,12,632,682,16.374629,254,252,3303.403564,3565.397461,3,4,127.691994,118.54582,6626.160464,181.467234,255,716784276,2462270356,255,0.198862,0.100084,0.098778,53,57,0,0,2,1,1,1,1,2,0,0,0,2,2,0,Normal,0,0
95927,0.735599,tcp,smtp,FIN,26,20,9835,1744,61.174636,254,252,102849.5156,18020.6875,10,8,29.42396,37.276738,1618.8548,51.064375,255,1468605166,1306680547,255,0.034198,0.026708,0.00749,378,87,0,0,1,1,1,1,1,1,0,0,0,1,1,0,DoS,1,1
65158,0.723773,tcp,-,FIN,14,12,3322,678,34.541217,254,252,34099.08984,6875.083496,4,4,55.674847,58.161,2826.48094,80.829281,255,3347479563,2890441022,255,0.136878,0.066094,0.070784,237,57,0,0,7,1,1,1,1,6,0,0,0,2,7,0,Normal,0,0
24738,0.00104,udp,dns,CON,2,2,130,162,2884.615377,31,29,500000.0,623076.9375,0,0,0.01,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,2,0,1,1,1,2,0,0,0,2,4,0,Normal,0,0
36762,0.92942,udp,-,CON,4,4,568,320,7.531579,31,29,3666.802979,2065.804443,0,0,292.342,304.693,413.420594,430.893188,0,0,0,0,0.0,0.0,0.0,142,80,0,0,11,0,1,1,1,1,0,0,0,3,5,0,Normal,0,0
32556,0.02733,tcp,-,FIN,52,54,3182,39076,3841.931949,31,29,913574.8125,11226637.0,7,20,0.53948,0.514269,39.480844,38.44135,255,313707708,2459394792,255,0.000729,0.000578,0.000151,61,724,0,0,7,0,2,1,1,2,0,0,0,6,5,0,Normal,0,0
80537,4e-06,tcp,-,REQ,2,0,90,0,250000.0006,254,0,90000000.0,0.0,1,0,0.004,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,8,6,1,1,1,7,0,0,0,2,7,0,Normal,0,0
22367,0.023108,tcp,-,FIN,48,50,2958,33044,4197.680469,31,29,1002942.688,11211355.0,7,18,0.495543,0.461531,32.76352,30.786842,255,1643870815,3815197677,255,0.000629,0.000491,0.000138,62,661,0,0,5,0,1,1,1,2,0,0,0,1,8,0,Normal,0,0
72001,9e-06,udp,-,INT,2,0,78,0,111111.1072,254,0,34666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,39,0,0,0,15,2,2,1,1,15,0,0,0,2,15,0,Normal,0,0
80901,12.665216,ospf,-,INT,20,0,900,0,1.500172,254,0,540.061829,0.0,0,0,666.590312,0.0,808.0395,0.0,0,0,0,0,0.0,0.0,0.0,45,0,0,0,1,2,1,1,1,22,0,0,0,2,1,0,DoS,1,1
6413,0.018096,tcp,-,FIN,16,18,1540,1644,1823.607431,31,29,638373.125,686560.5625,4,4,1.177133,1.037765,72.10355,2.188765,255,2886186520,2891266479,255,0.000567,0.000452,0.000115,96,91,0,0,8,0,5,4,1,8,0,0,0,6,6,0,Normal,0,0
102655,8e-06,udp,-,INT,2,0,104,0,125000.0003,254,0,52000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,6,2,2,2,1,6,0,0,0,2,6,0,Normal,0,0
71595,1e-05,udp,-,INT,2,0,1098,0,100000.0025,254,0,439200000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,549,0,0,0,9,2,2,2,1,9,0,0,0,2,10,0,Normal,0,0
11024,0.047636,tcp,-,FIN,48,50,2974,30506,2036.275147,31,29,489209.8438,5020741.0,7,18,1.005809,0.981229,76.759039,74.710567,255,2126346843,4276224948,255,0.000659,0.000529,0.00013,62,610,0,0,12,0,2,1,1,1,0,0,0,6,4,0,Normal,0,0
35029,0.043938,tcp,-,FIN,60,62,3598,48710,2753.880483,31,29,644362.5,8725932.0,7,24,0.739051,0.72255,50.026802,49.346049,255,3851217245,1706154688,255,0.00069,0.000577,0.000113,60,786,0,0,9,0,3,1,1,2,0,0,0,1,13,0,Normal,0,0
4218,0.00101,udp,dns,CON,2,2,146,178,2970.297008,31,29,578217.8125,704950.5,0,0,0.005,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,2,0,4,2,1,2,0,0,0,3,2,0,Normal,0,0
84379,0.65945,tcp,-,FIN,10,6,546,268,22.746228,254,252,5968.610352,2717.416016,2,1,69.123778,112.916602,3519.981377,168.954953,255,3408692742,945372665,255,0.22767,0.094861,0.132809,55,45,0,0,3,1,3,2,1,3,0,0,0,2,5,0,Normal,0,0
31184,0.001074,udp,dns,CON,2,2,146,178,2793.296014,31,29,543761.625,662942.25,0,0,0.009,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,2,0,2,1,1,1,0,0,0,1,4,0,Normal,0,0
41518,0.0,arp,-,INT,1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.732,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,Normal,0,0
29263,0.018077,tcp,-,FIN,16,18,1540,1644,1825.524236,31,29,639044.125,687282.1875,4,4,1.184067,1.036177,72.36389,2.019485,255,3297867024,3307434390,255,0.000587,0.000458,0.000129,96,91,0,0,14,0,9,6,1,6,0,0,0,12,9,0,Normal,0,0
17106,0.00648,tcp,-,FIN,18,18,3936,2456,5401.234583,31,29,4590123.5,2864197.5,7,7,0.364,0.352,18.762611,0.562865,255,3558017147,1415565174,255,0.001498,0.000493,0.001005,219,136,0,0,3,0,4,1,1,1,0,0,0,2,5,0,Normal,0,0
70937,0.844731,tcp,-,FIN,10,10,608,646,22.492368,254,252,5189.817871,5511.813965,2,3,93.859,87.805445,5487.257421,138.178641,255,489799546,2498119103,255,0.084246,0.022458,0.061788,61,65,0,0,2,1,1,1,1,2,0,0,0,1,2,0,Normal,0,0
25081,0.268955,tcp,-,FIN,22,24,2054,2478,167.31424,31,29,58329.46094,70643.78906,6,6,12.791714,11.666304,1111.404464,1064.948238,255,2944876918,2945178105,255,0.00077,0.00062,0.00015,93,103,0,0,6,0,3,1,1,4,0,0,0,9,4,0,Normal,0,0
46218,1.020906,tcp,-,FIN,10,6,534,268,14.692832,254,252,3769.201172,1755.303711,2,1,110.077333,178.764203,5976.13864,306.278594,255,127743654,4214216845,255,0.229913,0.127077,0.102836,53,45,0,0,4,1,1,1,1,2,0,0,0,1,2,0,Normal,0,0
27130,0.371709,tcp,ftp-data,FIN,14,8,8928,424,56.495809,31,29,178440.6719,7984.741211,4,1,28.593001,61.836832,3234.130539,138.265109,255,2369338107,4294127929,255,0.000686,0.000531,0.000155,638,53,0,0,3,0,2,1,1,5,0,0,0,2,2,0,Normal,0,0
38481,1.009933,tcp,-,FIN,122,126,7818,15828,244.570681,31,29,61421.89844,124388.4531,30,32,8.34376,8.075352,554.589155,547.759065,255,1538071759,3684328297,255,0.000604,0.000511,9.3e-05,64,126,0,0,4,0,1,1,1,1,0,0,0,2,5,0,Normal,0,0
13965,1.45548,tcp,-,FIN,10,8,610,354,11.679996,254,252,3017.561279,1703.905273,2,1,161.72,194.038422,11021.57722,289.108125,255,559498283,3632750650,255,0.178427,0.096593,0.081834,61,44,0,0,4,1,1,1,1,1,0,0,0,2,1,0,Normal,0,0
74052,2.105794,tcp,-,FIN,14,12,774,642,11.872007,254,252,2731.51123,2237.635742,4,3,161.883466,184.206094,12675.5065,274.403875,255,3770793436,1673375192,255,0.126966,0.079523,0.047443,55,54,0,0,3,1,1,1,1,1,0,0,0,2,1,0,Normal,0,0
33182,0.004097,tcp,ftp-data,FIN,10,12,528,8824,5125.701445,31,29,929460.5,15794971.0,1,4,0.419333,0.322273,30.407998,20.494776,255,604111823,2756650505,255,0.000708,0.000548,0.00016,53,735,0,0,3,0,5,1,1,5,0,0,0,11,3,0,Normal,0,0
25527,0.001077,udp,dns,CON,2,2,146,178,2785.515187,31,29,542246.9375,661095.625,0,0,0.01,0.005,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,2,0,1,1,1,1,0,0,0,2,2,0,Normal,0,0
31419,0.564518,tcp,-,FIN,28,30,4480,3080,100.971098,31,29,61220.37109,42202.375,7,7,20.897,19.448861,1272.083485,33.519707,255,1017828701,1061465986,255,0.000648,0.000498,0.00015,160,103,0,0,7,0,3,1,1,5,0,0,0,3,8,0,Normal,0,0
25893,0.001063,udp,dns,CON,2,2,146,178,2822.201463,31,29,549388.5625,669802.5,0,0,0.01,0.008,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,5,0,6,1,1,1,0,0,0,1,4,0,Normal,0,0
51211,8e-06,kryptolan,-,INT,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,2,2,2,2,2,2,0,0,0,20,2,0,DoS,1,1
7780,0.014917,tcp,-,FIN,38,40,2438,18508,5161.895755,31,29,1273178.25,9678085.0,7,13,0.404861,0.368692,0.0,29.645488,255,339878325,2511960851,255,0.000674,0.000535,0.000139,64,463,0,0,9,0,8,1,1,1,0,0,0,8,7,0,Normal,0,0
8569,0.034944,tcp,-,FIN,78,80,4550,72810,4492.902727,31,29,1028388.25,16460622.0,7,33,0.455566,0.435139,23.050818,22.766258,255,3102364592,953072892,255,0.000697,0.00056,0.000137,58,910,0,0,9,0,3,1,1,1,0,0,0,3,7,0,Normal,0,0
3091,8e-06,l2tp,-,INT,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,2,2,2,3,0,0,0,2,3,0,DoS,1,1
30197,0.710912,tcp,-,FIN,22,24,2054,2478,63.298975,31,29,22067.42969,26726.23438,6,6,33.836953,30.882523,2162.59874,2065.694035,255,1689947011,3835649474,255,0.000747,0.000606,0.000141,93,103,0,0,2,0,3,2,1,1,0,0,0,2,5,0,Normal,0,0
28881,0.048092,tcp,ftp-data,FIN,14,8,8928,424,436.663061,31,29,1379189.875,61715.04688,4,1,3.699385,6.773714,401.902728,16.423883,255,4245349294,269273246,255,0.000667,0.000534,0.000133,638,53,0,0,6,0,5,1,1,3,0,0,0,5,3,0,Normal,0,0
35852,0.612091,tcp,ftp-data,FIN,14,6,8928,320,31.041136,31,29,108362.9688,3489.677246,4,1,47.083924,120.254,3676.977372,149.256422,255,2034178044,798694525,255,0.022538,0.010683,0.011855,638,53,0,0,1,0,4,1,1,3,0,0,0,3,1,0,Normal,0,0
96969,1e-05,unas,-,INT,2,0,200,0,100000.0025,254,0,80000000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,7,2,6,3,3,12,0,0,0,6,7,0,DoS,1,1
25112,0.029226,tcp,-,FIN,56,54,3406,40446,3729.55594,31,29,915896.8125,10866215.0,7,21,0.525164,0.542189,0.0,33.988682,255,913094888,3080964807,255,0.000615,0.000486,0.000129,61,749,0,0,7,0,3,1,1,1,0,0,0,6,4,0,Normal,0,0
51852,2.210353,tcp,smtp,FIN,34,19,19871,1838,23.525655,254,253,69806.04688,6304.875488,14,8,63.297486,114.7225,4051.4245,135.651641,255,848769916,290371675,255,0.226569,0.145345,0.081224,584,97,0,0,1,1,1,1,1,1,0,0,0,3,1,0,DoS,1,1
80564,9e-06,tcp,-,REQ,2,0,90,0,111111.1072,254,0,40000000.0,0.0,1,0,0.009,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,7,6,1,1,1,5,0,0,0,1,5,0,Normal,0,0
17752,0.004774,udp,-,CON,4,4,568,304,1466.275651,31,29,713866.75,382069.5313,0,0,1.215,1.1,1.711906,1.546442,0,0,0,0,0.0,0.0,0.0,142,76,0,0,14,0,3,1,1,4,0,0,0,5,6,0,Normal,0,0
22765,0.034407,tcp,-,FIN,122,126,7818,15180,7178.771555,31,29,1802888.875,3501613.0,30,32,0.288737,0.273048,18.032333,15.501783,255,2088903251,4240332876,255,0.000684,0.000543,0.000141,64,120,0,0,6,0,2,1,1,2,0,0,0,6,3,0,Normal,0,0
18371,0.004676,tcp,-,FIN,18,18,3936,2456,7485.029596,31,29,6360992.0,3969204.25,7,7,0.256529,0.245471,12.731696,0.325237,255,2088126576,2091168321,255,0.00063,0.000499,0.000131,219,136,0,0,11,0,8,1,1,3,0,0,0,9,10,0,Normal,0,0
79322,2.106353,tcp,-,FIN,58,16,68117,698,34.657058,254,252,254251.7813,2487.712158,26,1,37.239929,134.123266,4104.056266,214.383312,255,3890295686,1636973686,255,0.185723,0.094501,0.091222,1174,44,0,0,2,1,1,1,1,2,0,0,0,1,2,0,Normal,0,0
40829,0.660603,tcp,http,FIN,10,8,796,1196,25.734065,62,252,8682.976562,12679.3252,2,2,73.400333,83.207711,3685.905383,123.368539,255,1339796521,3323084551,255,0.163654,0.077436,0.086218,80,150,1,195,1,1,11,1,1,1,0,0,4,1,1,0,Normal,0,0
80622,3e-06,tcp,-,REQ,2,0,90,0,333333.3215,254,0,119999992.0,0.0,1,0,0.003,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,9,6,2,1,1,9,0,0,0,2,9,0,Normal,0,0
30480,1.006224,tcp,http,FIN,14,18,1684,10168,30.808248,31,29,12434.60645,76356.75,3,5,77.374538,59.158176,8761.406685,7675.169297,255,1755449880,3902273971,255,0.000685,0.000533,0.000152,120,565,1,3924,4,0,7,2,1,4,0,0,1,12,3,0,Normal,0,0
29576,0.001044,udp,dns,CON,2,2,146,178,2873.563127,31,29,559386.9375,681992.3125,0,0,0.009,0.006,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,3,0,2,1,1,1,0,0,0,3,1,0,Normal,0,0
43002,6e-06,udp,-,INT,2,0,78,0,166666.6608,254,0,52000000.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,39,0,0,0,19,2,2,1,1,12,0,0,0,1,14,0,Normal,0,0
31461,0.497772,tcp,smtp,FIN,52,42,37210,3380,186.832523,31,29,586533.5625,53036.32813,18,8,9.75349,12.127585,750.491088,25.196266,255,70344113,71377397,255,0.000673,0.000537,0.000136,716,80,0,0,2,0,1,1,1,1,0,0,0,4,2,0,Normal,0,0
28149,0.039971,tcp,-,FIN,72,74,4238,63516,3627.629901,31,29,836606.5,12540692.0,7,30,0.558577,0.554211,31.417861,30.854124,255,3991913692,1842649146,255,0.000777,0.000613,0.000164,59,858,0,0,7,0,3,1,1,3,0,0,0,6,2,0,Normal,0,0
36750,0.031873,tcp,-,FIN,52,54,3182,39076,3294.324461,31,29,783359.0,9626455.0,7,20,0.618843,0.601731,38.225112,37.547538,255,1394492382,3540189502,255,0.000705,0.000575,0.00013,61,724,0,0,7,0,3,1,1,2,0,0,0,5,9,0,Normal,0,0
68677,0.745106,tcp,-,FIN,10,6,2516,268,20.131364,254,252,24318.6875,2405.0271,2,1,77.908444,132.828797,4745.833471,223.884984,255,4004851708,4151754909,255,0.128688,0.080956,0.047732,252,45,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Normal,0,0
75285,0.595901,tcp,-,FIN,10,6,2516,268,25.171966,254,252,30407.73438,3007.210938,2,1,59.891444,94.215797,2902.770507,116.132891,255,708279996,340964623,255,0.164656,0.124818,0.039838,252,45,0,0,5,1,1,1,1,4,0,0,0,1,4,0,Normal,0,0
75727,1.160323,tcp,ftp,FIN,14,12,720,682,21.545724,254,252,4612.508789,4316.039551,3,4,89.255613,98.483633,5088.738808,136.044219,255,2494489464,651925955,255,0.131294,0.076355,0.054939,51,57,0,0,3,1,2,1,1,4,0,0,0,3,3,0,Normal,0,0
101903,0.159073,tcp,-,CON,6,2,986,86,44.004955,62,252,41339.51172,2162.529297,2,1,31.8146,0.007,2177.076136,0.0,255,2311645920,1710698095,255,0.153865,0.075258,0.078607,164,43,0,0,9,3,6,6,1,9,0,0,0,6,9,0,Normal,0,0
4886,0.001126,udp,dns,CON,2,2,146,178,2664.298498,31,29,518650.0938,632326.8125,0,0,0.009,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,1,0,3,1,1,1,0,0,0,2,2,0,Normal,0,0
34067,0.001048,udp,dns,CON,2,2,146,178,2862.595564,31,29,557251.9375,679389.375,0,0,0.007,0.008,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,1,0,4,1,1,1,0,0,0,1,5,0,Normal,0,0
50704,1.1e-05,igp,-,INT,2,0,180,0,90909.0902,254,0,65454544.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,90,0,0,0,14,2,14,14,14,14,0,0,0,15,14,0,DoS,1,1
70045,0.0,arp,-,INT,1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.744,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,1,2,1,1,1,1,0,0,0,1,1,1,Normal,0,0
16711,0.1318,tcp,ssh,FIN,32,24,3728,5474,417.298951,31,29,219241.2813,318421.875,7,7,4.393333,5.959045,388.536148,13.06526,255,3777173338,3777461928,255,0.000721,0.000579,0.000142,117,228,0,0,1,0,3,1,1,1,0,0,0,2,1,0,Normal,0,0
81976,0.675087,tcp,-,FIN,10,8,748,354,25.18194,254,252,7987.119141,3673.60083,2,0,8306.8427,10383.579,823903.9916,27244.524,255,911569681,2552496866,255,0.216963,0.155767,0.061196,75,44,0,0,7,1,3,3,2,7,0,0,0,4,7,0,Normal,0,0
24461,0.001046,udp,dns,CON,2,2,130,162,2868.068701,31,29,497131.9063,619502.8125,0,0,0.008,0.008,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,2,0,4,1,1,1,0,0,0,3,3,0,Normal,0,0
71448,0.568461,tcp,http,FIN,10,8,950,354,29.905306,254,252,12032.48731,4362.65625,2,1,63.043111,72.283,4152.441138,126.08707,255,2086076518,3712229271,255,0.099738,0.062474,0.037264,95,44,1,0,5,1,2,2,1,5,0,0,1,2,5,0,Normal,0,0
28371,0.01402,tcp,-,FIN,36,38,2334,16290,5206.84749,31,29,1295292.5,9051070.0,7,12,0.391257,0.375583,26.538639,24.892655,255,4141225334,4141464344,255,0.000659,0.000496,0.000163,65,429,0,0,9,0,3,1,1,1,0,0,0,2,12,0,Normal,0,0
30488,0.001044,udp,dns,CON,2,2,146,178,2873.563127,31,29,559386.9375,681992.3125,0,0,0.01,0.003,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,3,0,2,1,1,2,0,0,0,2,4,0,Normal,0,0
12357,0.0,arp,-,INT,1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.7,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,1,2,1,1,1,1,0,0,0,1,1,1,Normal,0,0
2382,0.010912,tcp,-,FIN,38,40,2438,18508,7056.451483,31,29,1740469.125,13230205.0,7,13,0.285486,0.266128,17.301427,16.546617,255,3632617996,3653875675,255,0.000671,0.00053,0.000141,64,463,0,0,9,0,9,1,1,2,0,0,0,5,8,0,Normal,0,0
29976,0.074784,tcp,-,FIN,48,50,2958,32642,1297.068836,31,29,309905.8438,3422122.25,7,18,1.619065,1.515939,88.565122,87.309694,255,3113539598,1042852917,255,0.000634,0.000498,0.000136,62,653,0,0,10,0,3,1,1,4,0,0,0,6,5,0,Normal,0,0
85662,2.984045,udp,-,CON,18,20,2524,4638,12.399277,254,60,6391.324707,11814.83496,0,0,175.532062,123.300367,298.673906,246.870844,0,0,0,0,0.0,0.0,0.0,140,232,0,0,1,0,2,1,1,1,0,0,0,1,3,0,DoS,1,1
15984,0.021045,tcp,-,FIN,22,14,1470,1728,1663.102925,31,29,533713.5,610121.1875,5,4,1.002143,1.572308,108.596325,4.368997,255,2760002472,614847299,255,0.000602,0.000483,0.000119,67,123,0,0,9,0,3,1,1,2,0,0,0,1,6,0,Normal,0,0
31543,0.001052,udp,dns,CON,2,2,146,178,2851.711087,31,29,555133.0625,676806.125,0,0,0.011,0.003,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,4,0,3,1,1,1,0,0,0,1,1,0,Normal,0,0
5379,0.096535,tcp,-,RST,6,2,258,86,72.512562,254,60,17817.37305,3563.474609,1,1,19.307,0.008,1171.378343,0.0,255,2343497511,3205220822,255,0.081454,0.043564,0.03789,43,43,0,0,27,0,8,8,1,26,0,0,0,9,26,0,Normal,0,0
6424,1.115422,tcp,-,FIN,200,388,11618,485110,526.258218,31,29,82910.32031,3470327.75,19,174,5.631854,2.881036,1528.666528,1091.798141,255,158086186,2308028652,255,0.000578,0.000458,0.00012,58,1250,0,0,14,0,2,1,1,11,0,0,0,1,14,0,Normal,0,0
30377,0.001081,udp,dns,CON,2,2,146,178,2775.208228,31,29,540240.5625,658649.4375,0,0,0.011,0.009,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,9,0,3,1,1,1,0,0,0,4,3,0,Normal,0,0
80397,0.665438,tcp,http,FIN,10,8,836,1284,25.547083,62,252,9052.68457,13512.9043,2,2,73.937556,79.894711,3948.651143,145.281953,255,3431853680,17324464,255,0.147054,0.076401,0.070653,84,161,1,235,3,1,1,1,1,2,0,0,1,2,2,0,Normal,0,0
32586,0.001086,udp,dns,CON,2,2,130,162,2762.430929,31,29,478821.375,596685.0625,0,0,0.01,0.011,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,2,0,5,1,1,1,0,0,0,1,3,0,Normal,0,0
110257,0.0,arp,-,INT,1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.7,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,Normal,0,0
76281,0.570466,tcp,-,FIN,10,6,1014,268,26.294294,254,252,12803.56836,3141.291504,2,1,61.539222,96.835398,3214.924839,156.152094,255,1684164530,4289376972,255,0.224285,0.086285,0.138,101,45,0,0,7,1,2,3,1,3,0,0,0,3,4,0,Normal,0,0
85177,0.355144,tcp,-,FIN,10,6,706,268,42.236389,254,252,14326.58301,5045.84082,2,1,39.460444,55.818,1996.487023,87.005719,255,2775707298,1922715884,255,0.128057,0.075231,0.052826,71,45,0,0,3,1,2,2,1,3,0,0,0,2,3,0,Normal,0,0
73907,1.1e-05,udp,-,INT,2,0,1638,0,90909.0902,254,0,595636352.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,819,0,0,0,7,2,3,3,1,6,0,0,0,4,6,0,Normal,0,0
24377,0.001767,udp,-,CON,4,4,520,304,3961.516806,31,29,1765704.625,1032258.063,0,0,0.441667,0.235333,0.61754,0.325036,0,0,0,0,0.0,0.0,0.0,130,76,0,0,4,0,3,1,1,3,0,0,0,3,4,0,Normal,0,0
55358,7e-06,unas,-,INT,2,0,200,0,142857.1409,254,0,114285712.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,1,1,1,3,0,0,0,1,3,0,DoS,1,1
67144,1e-05,udp,-,INT,2,0,1064,0,100000.0025,254,0,425600000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,532,0,0,0,3,2,1,1,1,2,0,0,0,2,3,0,Normal,0,0
